fb_1_0.8tdg[10000, 10000]&1+1[10000],334.188 1446
tdg[10000, 10000]&1+1[10000],312.664 1458
tdg[10000, 10000]&1+1[10000],316.084 1461
tdg[10000, 10000]&1+1[10000],316.858 1445
tdg[10000, 10000]&1+1[10000],3267.824 1444
tdg[10000, 10000]&1+1[10000],2326.063 1452
tdg[10000, 10000]&1+1[10000],305.724 1443
tdg[10000, 10000]&1+1[10000],308.450 1462
tdg[10000, 10000]&1+1[10000],307.348 1432
tdg[10000, 10000]&1+1[10000],4130.220 1460
tdg[10000, 10000]&1+1[10000],308.612 1441
tdg[10000, 10000]&1+1[10000],309.565 1450
tdg[10000, 10000]&1+1[10000],1274.922 1486
tdg[10000, 10000]&1+1[10000],1594.445 1458
tdg[10000, 10000]&1+1[10000],1205.690 1451
tdg[10000, 10000]&1+1[10000],312.096 1452
tdg[10000, 10000]&1+1[10000],1591.545 1457
tdg[10000, 10000]&1+1[10000],2098.058 1462
tdg[10000, 10000]&1+1[10000],745.438 1460
tdg[10000, 10000]&1+1[10000],321.462 1438
tdg[10000, 10000]&1+1[10000],619.231 1470
tdg[10000, 10000]&1+1[10000],1853.389 1450
tdg[10000, 10000]&1+1[10000],2062.473 1472
tdg[10000, 10000]&1+1[10000],1500.854 1451
tdg[10000, 10000]&1+1[10000],2059.465 1460
tdg[10000, 10000]&1+1[10000],1823.822 1438
tdg[10000, 10000]&1+1[10000],2394.747 1449
tdg[10000, 10000]&1+1[10000],1203.099 1444
tdg[10000, 10000]&1+1[10000],309.409 1439
tdg[10000, 10000]&1+1[10000],309.145 1475
tdg[10000, 10000]&1+1[10000],309.186 1440
tdg[10000, 10000]&1+1[10000],1849.001 1460
tdg[10000, 10000]&1+1[10000],2099.305 1447
tdg[10000, 10000]&1+1[10000],2099.365 1443
tdg[10000, 10000]&1+1[10000],306.593 1443
tdg[10000, 10000]&1+1[10000],309.847 1453
tdg[10000, 10000]&1+1[10000],308.604 1462
tdg[10000, 10000]&1+1[10000],1350.046 1452
tdg[10000, 10000]&1+1[10000],1477.127 1440
tdg[10000, 10000]&1+1[10000],344.827 1469
tdg[10000, 10000]&1+1[10000],338.809 1462
tdg[10000, 10000]&1+1[10000],322.833 1462
tdg[10000, 10000]&1+1[10000],306.604 1455
tdg[10000, 10000]&1+1[10000],434.539 1453
tdg[10000, 10000]&1+1[10000],367.880 1446
tdg[10000, 10000]&1+1[10000],356.148 1468
tdg[10000, 10000]&1+1[10000],322.372 1446
tdg[10000, 10000]&1+1[10000],330.945 1449
tdg[10000, 10000]&1+1[10000],330.719 1442
tdg[10000, 10000]&1+1[10000],347.479 1451
tdg[10000, 10000]&doerr1+1[2.5;10000],349.434 1458
tdg[10000, 10000]&doerr1+1[2.5;10000],316.694 1455
tdg[10000, 10000]&doerr1+1[2.5;10000],309.384 1444
tdg[10000, 10000]&doerr1+1[2.5;10000],514.648 1436
tdg[10000, 10000]&doerr1+1[2.5;10000],332.910 1451
tdg[10000, 10000]&doerr1+1[2.5;10000],312.400 1459
