tdg&doerr1+1[3;10000]
time,|TSS|
145.37857747077942,1545
140.93207788467407,1543
141.658020734787,1549
142.0537326335907,1538
144.63449549674988,1541
141.9043538570404,1545
141.938880443573,1550
140.4824640750885,1541
144.6421995162964,1553
142.18204712867737,1554
140.796879529953,1541
142.136470079422,1544
143.5778772830963,1552
144.70791673660278,1539
139.38869500160217,1544
141.21548318862915,1550
142.51512694358826,1537
145.00357580184937,1546
141.69558000564575,1539
135.79285764694214,1537
