tdg&iter_descent[10000, 1]
time,|TSS|
143.5338933467865,1531
137.2497637271881,1525
139.0802400112152,1539
136.43153762817383,1519
143.76529002189636,1523
137.29339218139648,1533
137.6307828426361,1524
138.56770205497742,1529
140.67375802993774,1539
142.53296899795532,1529
137.4864423274994,1528
138.57692766189575,1520
138.03563046455383,1525
143.9097580909729,1525
137.9794692993164,1525
138.36895513534546,1523
138.2336230278015,1532
141.33387756347656,1519
139.42120599746704,1525
137.3968541622162,1524
