tdg&iter_descent_v2[10000, 1]
time,|TSS|
145.1826093196869,1424
141.26505589485168,1419
140.83945679664612,1425
141.92812252044678,1422
144.35125064849854,1415
141.9406759738922,1421
142.2020308971405,1419
140.00763535499573,1414
144.8296251296997,1413
142.7621672153473,1412
142.31320643424988,1418
138.19522333145142,1422
138.70313668251038,1405
141.58048295974731,1409
131.50907111167908,1415
128.37681674957275,1416
129.89087438583374,1418
130.27791690826416,1412
129.54775595664978,1430
126.98330879211426,1418
