exact_sat_time|exact_sat_size|tdg_time|tdg_size|1+1[10000]_time|1+1[10000]_size|tdg_1+1[10000]_time|tdg_1+1[10000]_size
80414.2035267353|15|0.004250049591064453|18|0.5308547019958496|16|0.5245897769927979|16
68027.12818789482|15|0.004204988479614258|18|0.5218727588653564|16|0.5415902137756348|17
None|None|0.004201173782348633|18|0.5465388298034668|17|0.554131031036377|16
None|None|0.004242420196533203|18|0.5394878387451172|16|0.5378761291503906|15
None|None|0.004199504852294922|18|0.5519816875457764|17|0.5469913482666016|16
None|None|0.004202604293823242|18|0.5393495559692383|16|0.5402395725250244|15
None|None|0.004199028015136719|18|0.5459184646606445|16|0.5461907386779785|15
None|None|0.004195213317871094|18|0.5452907085418701|17|0.5466697216033936|16
None|None|0.004201650619506836|18|0.5348429679870605|16|0.545832633972168|16
None|None|0.004201650619506836|18|0.5359430313110352|15|0.5413613319396973|16
None|None|0.004206180572509766|18|0.5350275039672852|15|0.5378837585449219|15
None|None|0.004202127456665039|18|0.5551841259002686|16|0.5633022785186768|15
None|None|0.004199028015136719|18|0.5557036399841309|18|0.5659606456756592|16
None|None|0.004202365875244141|18|0.5750300884246826|18|0.5668172836303711|16
None|None|0.004221677780151367|18|0.5602908134460449|15|0.5741450786590576|15
None|None|0.004201650619506836|18|0.5613465309143066|18|0.5626266002655029|15
None|None|0.0042133331298828125|18|0.5671062469482422|16|0.5660674571990967|15
None|None|0.00420832633972168|18|0.5604231357574463|16|0.55784010887146|15
None|None|0.004210233688354492|18|0.5680928230285645|16|0.5789439678192139|16
None|None|0.004210233688354492|18|0.5571255683898926|17|0.5547211170196533|16
